記録の分類_タイプ産地or標本記録or文献記録or疑わしいかどうか,和名,学名,Latitude_assumed,Longitude_assumed,日付,都道府県_jp,島_jp,文献ID,掲載ページ,文献中の和名,文献中で有効とされる学名_文献紹介など、その文献中で有効とされる学名がわからない場合はハイフンを記入してください。,場所（原文ママ）
7_疑わしい文献記録,シロヘリタマヤスデ,Hyleoglomeris lucida,36.30227226,140.3504421,1998-X-24,茨城県,本州,L00649,363,シロヘリタマヤスデ,Hyleoglomeris lucidus[sic],友部町仁古田
7_疑わしい文献記録,ノコギリヤスデ属の一種,Prionomatis sp.,36.44466788,140.2138513,1997-IX-07,茨城県,本州,L00649,363,ノコギリヤスデ属の1種 (C),Prionomatis sp. (C),七会村上赤沢
7_疑わしい文献記録,ノコギリヤスデ属の一種,Prionomatis sp.,36.47279444,140.2339556,1997-IX-07,茨城県,本州,L00649,363,ノコギリヤスデ属の1種 (C),Prionomatis sp. (C),七会村大沢
7_疑わしい文献記録,ノコギリヤスデ属の一種,Prionomatis sp.,36.46926434,140.2747784,1997-IX-07,茨城県,本州,L00649,363,ノコギリヤスデ属の1種 (C),Prionomatis sp. (C),七会村小勝
7_疑わしい文献記録,ノコギリヤスデ属の一種,Prionomatis sp.,36.2892783,140.4438022,1997-XI-15,茨城県,本州,L00649,363,ノコギリヤスデ属の1種 (C),Prionomatis sp. (C),茨城町谷田部
7_疑わしい文献記録,ノコギリヤスデ属の一種,Prionomatis sp.,36.2250932,140.5477635,1997-XI-15,茨城県,本州,L00649,363,ノコギリヤスデ属の1種 (C),Prionomatis sp. (C),旭村下子生，厳島神社
7_疑わしい文献記録,ノコギリヤスデ属の一種,Prionomatis sp.,36.304869,140.5606013,1997-XI-15,茨城県,本州,L00649,363,ノコギリヤスデ属の1種 (C),Prionomatis sp. (C),大洗町大貫，諏訪神社
7_疑わしい文献記録,ノコギリヤスデ属の一種,Prionomatis sp.,36.276984,140.4794504,1997-XI-15,茨城県,本州,L00649,363,ノコギリヤスデ属の1種 (C),Prionomatis sp. (C),茨城町中石崎，親沢
7_疑わしい文献記録,ノコギリヤスデ属の一種,Prionomatis sp.,36.383289,140.267779,1998-VI-21,茨城県,本州,L00649,363,ノコギリヤスデ属の1種 (C),Prionomatis sp. (C),佐白山（標高150 m 地点）
7_疑わしい文献記録,ノコギリヤスデ属の一種,Prionomatis sp.,36.382803,140.100017,1998-VI-21,茨城県,本州,L00649,363,ノコギリヤスデ属の1種 (C),Prionomatis sp. (C),岩佐木町富谷，富谷観音（標高180 m 地点）
