Lnumber,LID_CSV,LitList
799,L01430,"Moritz M. and Fischer S.-C. (1974) Die Typen der Myriapoden‐Sammlung des Zoologischen Museums Berlin. I. Diplopoda. Teil 2: Craspedosomatida (Chordeumatidae, Anthroleucosomatidae, Anthogonidae, Entomobielziidae, Rothenbühleriidae, Brachychaeteumatidae, Haplobainosomatidae, Attemsiidae, Craspedosomatidae, Callipodidae, Lysiopetalidae), Stemmiulida, Spirostreptida. Mitteilungen aus dem Zoologischen Museum in Berlin, 50(2): 323–375."
800,L01431,"Moritz M. and Fischer S.-C. (1975) Die Typen der Myriapoden‐Sammlung des Zoologischen Museums Berlin. I. Diplopoda. Teil 3: Julida, Spirobolida. Mitteilungen aus dem Zoologischen Museum in Berlin, 51(2): 199–255."
801,L00081,"Moritz M. and Fischer S.-C. (1978) Die Typen der Myriapoden‐Sammlung des Zoologischen Museums Berlin. I. Diplopoda. Teil 4: Polydesmida (Paradoxosomatidea, Sphaeriodesmidea, Polydesmidea). Teil 5: Ergänzungen (Teile 1 bis 3). Mitteilungen aus dem Zoologischen Museum in Berlin, 54(1): 99–160."
802,L01432,"Moritz M. and Fischer S.-C. (1978) Die Typen der Myriapoden‐Sammlung des Zoologischen Museums Berlin. I. Diplopoda. Teil 6: Nachtrag zu den Teilen 1 bis 4. Mitteilungen aus dem Zoologischen Museum in Berlin, 54(2): 333–343."
803,L01441,"Moritz M. and Fischer S.-C. (1979) Die Typen der Myriapoden-Sammlung des Zoologischen Museums Berlin. II. Chilopoda. Mitteilungen aus dem Zoologischen Museum in Berlin, 55(2): 297–352."
804,L01711,"森谷 清樹・矢部 辰男・原田 文雄 (1966) ヤケヤスデ (<i>Orthomropha</i> (<i>K.</i>) <i>gracilis</i> C. L.Koch) の防疫用殺虫剤による防除実験. 衛生動物, 17(1): 74–76."
805,L01074,"元木 貢・宮下 礼行・佐々木 健 (2018) 神奈川県下におけるヤケヤスデの生息調査. 有害生物, (15): 33–37."
806,L01142,"Motschulsky V. I. (1866) Catalogue des Insectes reçus du Japon. Bulletin de la Société impériale des naturalistes de Moscou, 39(1): 163–200."
807,L00222,"村上 好央 (1950) トビズムカデの脱皮とその卵. 採集と飼育, 12(2): 60–61."
808,L00214,"村上 好央 (1951) ゲジゲジの發育について（豫報）. 採集と飼育, 13(2): 57–60."
809,L00221,"村上 好央 (1951) ゲジの奇形. 採集と飼育, 13(9): 302."
810,L01449,"村上 好央 (1952) ゲジの卵ならびにEmbryo. 醫學と生物學, 22(1): 34–37."
811,L01450,"村上 好央 (1952) ゲジの生態ならびに形態学的研究 I 飼育法と卵の発見. 醫學と生物學, 23(2): 39–41."
812,L01451,"村上 好央 (1952) ゲジの生態ならびに形態学的研究 II 産卵の数と時期. 醫學と生物學, 23(3): 89–92."
813,L01452,"村上 好央 (1952) ゲジの生態ならびに形態学的研究 III 幼虫期における歩肢の增加について. 醫學と生物學, 23(5): 157–160."
814,L01453,"村上 好央 (1952) ゲジの生態ならびに形態学的研究 IV 背板の形成について その1. 醫學と生物學, 24(4): 141–144."
815,L01454,"村上 好央 (1952) ゲジの生態ならびに形態学的研究 V 背板の形成について その2. 醫學と生物學, 24(6): 241–243."
816,L01455,"村上 好央 (1952 (not 1951)) ゲジの生態ならびに形態学的研究 VI 歩肢の再生. 醫學と生物學, 25(2): 77–79."
817,L01456,"村上 好央 (1952) ゲジの生態ならびに形態学的研究 VII 幼虫期における触角節数について. 醫學と生物學, 25(4): 202–205."
818,L01457,"村上 好央 (1952) ゲジの生態ならびに形態学的研究 VIII 歩肢の発育について その1. 醫學と生物學, 25(6): 298–301."
819,L00217,"村上 好央 (1952) 最も若いゲジの幼虫. 採集と飼育, 14(9): 286–288."
820,L00216,"村上 好央 (1952) ゲジの奇形（つづき）. 採集と飼育, 14(9): 288."
821,L01458,"村上 好央 (1953) ゲジの生態ならびに形態学的研究 IX 歩肢の発育について その2. 醫學と生物學, 26(2): 61–63."
822,L01459,"村上 好央 (1953) ゲジの生態ならびに形態学的研究 X 気孔の外部形成. 醫學と生物學, 26(4): 155–158."
823,L01460,"村上 好央 (1953) ゲジの生態ならびに形態学的研究 XI 腹板・顎肢・第二小顎の形成. 醫學と生物學, 27(2): 41–44."
824,L01461,"村上 好央 (1953) ゲジの生態ならびに形態学的研究 XII 食性. 醫學と生物學, 27(4): 143–145."
825,L01462,"村上 好央 (1953) ゲジの生態ならびに形態学的研究 XIII 脱皮経過. 醫學と生物學, 28(1): 20–23."
826,L01463,"村上 好央 (1953) ゲジの生態ならびに形態学的研究 XIV 卵および第一，第二期幼虫の発育日数. 醫學と生物學, 28(4): 189–192."
827,L01464,"村上 好央 (1954) ゲジの生態ならびに形態学的研究 XV 脱皮回数と脱皮に伴う体長の変化. 醫學と生物學, 30(2): 76–79."
828,L01465,"村上 好央 (1954) ゲジの生態ならびに形態学的研究 XVI 産卵に関するその後の知見. 醫學と生物學, 30(6): 273–275."
829,L01466,"村上 好央 (1954) ゲジの生態ならびに形態学的研究 XVII 生殖節および生殖肢の発育. 醫學と生物學, 32(6): 295–298."
830,L01467,"村上 好央 (1954) ゲジの生態ならびに形態学的研究 発育史 その1. 醫學と生物學, 33(1): 26–29."
831,L01468,"村上 好央 (1954) ゲジの生態ならびに形態学的研究 XIX 発育史 その2. 醫學と生物學, 33(3): 106–109."
832,L01469,"村上 好央 (1954) ゲジの生態ならびに形態学的研究 XX 発育史 その3. 醫學と生物學, 33(5): 211–213."
833,L00224,"村上 好央 (1954) ゲジの発育について（つづき）. 採集と飼育, 16(8): 228–232."
834,L01193,"村上 好央 (1954) ゲジの発育史について. 動物学雑誌, 63(11–12): 482."
835,L00665,"村上 好央 (1956) ゲジの発育段階. 動物学雑誌, 65(2): 37–41."
836,L00664,"村上 好央 (1956) ゲジの生活. 動物学雑誌, 65(2): 42–46."
837,L00667,"村上 好央 (1958) ゲジの食性. 動物学雑誌, 67(5): 138–141."
838,L00666,"村上 好央 (1958) イッスンムカデの生活史. 動物学雑誌, 67(7): 217–223."
839,L00668,"村上 好央 (1959) 日本産普通多足類の後胚発生 I. ゲジにおける有歩肢胴節の改形的発育とその背板の問題 ゲジにおける有歩肢胴節の改形的発育とその背板の問題. 動物学雑誌, 68(5): 193–199."
840,L00669,"村上 好央 (1959) 日本産普通多足類の後胚発生 II. カマクラオオゲジ. 動物学雑誌, 68(9): 324–329."
841,L00670,"村上 好央 (1960) 日本産普通多足類の後胚発生 III. モモブトイシムカデ 1. 改形段階. 動物学雑誌, 69(4): 121–124."
842,L00671,"村上 好央 (1960) 日本産普通多足類の後胚発生 IV. モモブトイシムカデ 2. 整形的発育段階. 動物学雑誌, 69(5): 163–166."
843,L00672,"村上 好央 (1960) 日本産普通多足類の後胚発生 V. モモブトイシムカデ 3. 触角と基節腺孔の数の変異. 動物学雑誌, 69(5): 167–170."
844,L00673,"村上 好央 (1960) 日本産普通多足類の後胚発生 VI. ヒトフシムカデの1新種. 動物学雑誌, 69(9): 288–291."
845,L00674,"村上 好央 (1961) 日本産普通多足類の後胚発生 VII. ミネコヒトフシムカデ 1. 雌の生長形態. 動物学雑誌, 70(4): 125–130."
846,L00675,"村上 好央 (1961) 日本産普通多足類の後胚発生 VIII. ホンイシムカデ亜属の分布と1新種. 動物学雑誌, 70(7): 225–229."
847,L00676,"村上 好央 (1961) 日本産普通多足類の後胚発生 IX. ナガゲジムカデの改形段階. 動物学雑誌, 70(12): 430–434."
848,L00545,"村上 好央 (1962) 日本産普通多足類の後胚発生 X. ヤケヤスデの生活史. 動物学雑誌, 71(8): 245–249."
849,L00677,"村上 好央 (1962) 日本産普通多足類の後胚発生 XI ヒラタヤスデの生活史（1）. 動物学雑誌, 71(8): 250–255."
850,L00678,"村上 好央 (1962) 日本産普通多足類の後胚発生 XII ヒラタヤスデの生活史（2）. 動物学雑誌, 71(9): 291–294."
851,L00679,"村上 好央 (1963) 日本産普通多足類の後胚発生 XIII ヒラタヤスデの生活史（3）. 動物学雑誌, 72(2): 40–47."
852,L00681,"村上 好央 (1963) 日本産普通多足類の後胚発生 XV フルイシムカデの1新種とその生長形態. 動物学雑誌, 72(7): 168–173."
853,L00680,"村上 好央 (1963) 日本産普通多足類の後胚発生 XIV フルイシムカデの1新種. 動物学雑誌, 72(7): 194–198."
854,L00082,"村上 好央 (1964) 日本産普通多足類の後胚発生 XVI. ハガヤスデ亜科の2新種. 動物学雑誌, 73(3): 94–97."
855,L00546,"村上 好央 (1965) 日本産普通多足類の後胚発生 XVII イヨハガヤスデの生活史（1）. 動物学雑誌, 74(1): 1–5."
856,L00682,"村上 好央 (1965) 日本産普通多足類の後胚発生 XVIII イヨハガヤスデの生活史（2）. 動物学雑誌, 74(2): 31–37."
857,L00683,"村上 好央 (1965) 日本産普通多足類の後胚発生 XIX. ヒトフシムカデの2新種. 動物学雑誌, 74(3): 69–75."
858,L00684,"村上 好央 (1965) 日本産普通多足類の後胚発生 XX. トリデヤスデの1新種とイシムカデの1新種. 動物学雑誌, 74(5): 165–169."
859,L00083,"村上 好央 (1966) 日本産普通多足類の後胚発生 XXI. タメトモヤスデ科の1新属とクビヤスデ科の1新種. 動物学雑誌, 75(2): 30–33."
860,L00306,"村上 好央 (1966) ヤケヤスデの生活史についての訂正. 動物学雑誌, 75(2): 51."
861,L00084,"村上 好央 (1966) 日本産普通多足類の後胚発生 XXII. ヤスデの3新種. 動物学雑誌, 75(4): 94–97."
862,L00549,"村上 好央 (1966) 日本産普通多足類の後胚発生 XXIII. キンシャトリデヤスデの生活史についてニ, 三の知見. 動物学雑誌, 75(10): 309–313."
863,L00685,"村上 好央 (1967) 日本産普通多足類の後胚発生 XXIV. トゲイシムカデ（Henicopidae）の1新種. 動物学雑誌, 76(1): 7–12."
864,L00085,"Murakami Y. (1968) Two new polydesmid millipeds of the genus <i>Epanerchodus</i> from Japanese caves. Annotationes Zoologicae Japonenses, 41(4): 163–167."
865,L00086,"Murakami Y. (1969) Two new species of polydesmid millipeds from Limestone caves in Tokushima Prefecture, Japan. Annotationes Zoologicae Japonenses, 42(1): 30–35."
866,L00237,"村上 好央 (1969) 東北地方の石灰洞で得られた多足類. 国立科学博物館研究報告, 12(3): 557–582."
867,L00088,"Murakami Y. (1970) Two new cave-dwelling millipeds from Japan. Annotationes Zoologicae Japonenses, 43(2): 105–111."
868,L00087,"Murakami Y. (1970) More new species of <i>Epanerchodus</i> (Diplopoda, Polydesmidae) found in limestone caves of eastern Shikoku, Japan. Annotationes Zoologicae Japonenses, 43(3): 151–157."
869,L00089,"村上 好央 (1971) 西日本の島嶼に見られる溶岩洞の動物相—10—多足類. 国立科学博物館研究報告, 14(3): 311–332."
870,L00090,"Murakami Y. (1971) Two new cave millipeds of the genus <i>Epanerchodus</i> from Shikoku, Japan. Annotationes Zoologicae Japonenses, 44(4): 221–226."
871,L00093,"Murakami Y. (1972) Two new <i>Epanerchodus</i> (Polydesmidae) from limestone caves in southern Shikoku, Japan. Annotationes Zoologicae Japonenses, 45(1): 35–41."
872,L00092,"Murakami Y. (1972) Two new cave millipeds of the genus <i>Epanerchodus</i> from Kôchi Prefecture, Japan. Annotationes Zoologicae Japonenses, 45(2): 104–110."
873,L00091,"村上 好央 (1972) 北海道産多足類の数種について. 国立科学博物館専報, (5): 57–64."
874,L00094,"Murakami Y. (1973) Two new cave millipeds from southwest Japan. Annotationes Zoologicae Japonenses, 46(3): 199–204."
875,L00095,"Murakami Y. (1973) Two new species of polydesmid millipeds from western Honshu, Japan. Annotationes Zoologicae Japonenses, 46(4): 253–258."
876,L00096,"Murakami Y. (1974) Two new cave millipeds of the genus <i>Prionomatis</i> from Kumamoto prefecture in southwest Japan. Annotationes Zoologicae Japonenses, 47(3): 187–193."
877,L00097,"村上 好央 (1975) 琉球列島の洞窟性多足類 (I). 国立科学博物館研究報告. A類, 動物学, 1(2): 85–113."
878,L00548,"村上 好央 (1975) 琉球列島の洞窟性多足類 (II). 国立科学博物館研究報告. A類, 動物学, 1(3): 157–167."
879,L00098,"Murakami Y. (1976) Occurrence of <i>Prionomatis</i> (Diplopoda, Polydesmidae) in western Shikoku, Japan. Journal of the Speleological Society of Japan, 1: 8–15."
880,L00547,"Murakami Y. (1978) Occurrence of <i>Skleroprotopus inferus</i> (Diplopoda, Paraiulidae) in a Mine Adit of the Kii Peninsula. Journal of the Speleological Society of Japan, 3: 52."
881,L00099,"Murakami Y. (1979) A new genus and species of nemasomatid milliped from central Honshu, Japan. Journal of the Speleological Society of Japan, 4: 17–22."
882,L00100,"Murakami Y. (1980) Occurrence of a new <i>Sinostemmiulus</i> (Diplopoda, Nemasomatidae) in a limestone cave of southwest Japan. Journal of the Speleological Society of Japan, 5: 29–33."
883,L00787,"村上 好央 (1988) 芳賀昭治氏所蔵の倍足類模式標本の保存について. Takakuwaia, (20): 4–8."
884,L00260,"Murakami Y. (1990) The millipeds of the genus <i>Kopidoiulus</i> (Diplopoda, Julida, Mongoliulidae). Journal of the Speleological Society of Japan, 15: 1–14."
885,L01583,"村上 好央 (1993) リュウオビヤスデ <i>Epanerchodus acuticlivus</i> Murakami. p. 160–162. In: 加藤 陸奥雄・沼田 眞 (監修) 上野 俊一 (編) 滅びゆく日本の動物50種. 築地書館, 東京. 195 pp."
886,L00101,"村上 好央 (1993) ヤスデ綱(倍脚類)・ヤスデモドキ綱(少脚類)・ムカデ綱(唇脚類)・コムカデ綱(結合類). p. 95–106. In: 環境庁自然保護局野生生物課 (編) 日本産野生生物目録：本邦産野生動植物の種の現状 (無脊椎動物編 I). 自然環境研究センター, 東京. 106 pp. ISBN-13: 978-4-915959-07-3."
887,L00290,"Murakami Y. (1995) The group of <i>Epanerchodus bidens</i> (Diplopoda, Polydesmidae). Special Bulletin of the Japanese Society of Coleopterology, (4): 151–171."
888,L00102,"Murakami Y. and Irie T. (1974) A new cave milliped of the genus <i>Prionomatis</i> from Central Kyushu, Japan. Annotationes Zoologicae Japonenses, 47(4): 267–272."
889,L00103,"Murakami Y. and Irie T. (1975) The geographical differentiation of the cave milliped, <i>Prionomatis nanaoredense</i>. Annotationes Zoologicae Japonenses, 48(3): 183–190."
890,L00104,"Murakami Y. and Irie T. (1976) Two new cave millipeds of the genus <i>Prionomatis</i> from Kyushu, southwest Japan. Annotationes Zoologicae Japonenses, 49(1): 60–66."
891,L00105,"Murakami Y. and Kawasawa T. (1975) Two new cave millipeds from Kôchi Prefecture, southwest Japan. Annotationes Zoologicae Japonenses, 48(3): 191–197."
892,L00107,"村上 好央・川澤 哲夫 (1976) クロイワヤスデ属の洞窟性倍脚類. 国立科学博物館研究報告. A類, 動物学, 2(2): 109–122."
893,L00233,"村上 好央・三好 保徳 (1957) イッスンムカデの歩肢再生. 採集と飼育, 19(12): 359–360, 362."
894,L00238,"Murakami Y. and Paik K. Y. (1968) Results of the speleological survey in south Korea 1966. XI. Cave-dwelling myriapods from the southern part of Korea. Bulletin of the National Science Museum Tokyo, 11(4): 363–384."
895,L00999,"Nagae S., Sato K., Tanabe T. and Hasegawa K. (2021) Symbiosis of the millipede parasitic nematodes Rhigonematoidea and Thelastomatoidea with evolutionary different origins. BMC Ecology and Evolution, 21(120): 2–16."
896,L01709,長野 雄樹 (2023) 大分県における外来種ヤンバルトサカヤスデの確認.
897,L00929,"長島 孝行・福島 義一 (1975) 埼玉県秩父地方の洞窟棲動物. 採集と飼育, 37(4): 95–101."
898,L01489,"長塚 義男 (1956) マクラギヤスデ横須賀に産す. 横須賀市博物館雑報, (2): 1–2."
899,L01311,"中川 久友 (1884) 日光産採集記.動物学雑誌, 6(72): 347–349."
900,L01310,"中川 久友 (1884) 雑録 日光産採集記. 龍南會雜誌, (31): 28–31."
901,L00697,"中川 久友 (1894) 熊本近傍ニ産スル多足類ニ就テ. 動物学雑誌, 6(71): 315–327."
902,L01628,"中島 秀雄・佐藤 英文・高野 光男・多城 淳 (1992) 丹沢山塊の蛾類・多足類・カニムシ類の分布. p. 1–17. In: 平成3年度 研究論文集. 神奈川県私立中学高等学校協会, 神奈川."
903,L01373,"仲間 信道・中村 泰之・鈴木 佑弥・Zoltán Korsós (2023) 琉球列島の17島におけるヤマシナタマヤスデ <i>Hyleoglomeris yamashinai</i> Verhoeff, 1937（ヤスデ綱，タマヤスデ目，タマヤスデ科）の新記録及び宮古島からの再記録. Fauna Ryukyuana, 66: 47–53."
904,L01265,"Nakama N., Nakamura Y., Tatsuta H. and Korsós Z. (2022) A new pill millipede species of the genus <i>Hyleoglomeris</i> Verhoeff 1910 (Glomerida: Glomeridae) from the Ryukyu Archipelago, Japan. Acta Arachnologica, 71(1): 5–12."
905,L00550,"Nakamura K. and Taira J. (2005) Distribution of elements in the millipede, <i>Oxidus gracilis</i> C. L. Koch (Polydesmida: Paradoxosomatidae) and the relation to environmental habitats. BioMetals, 18(6): 651–658."
906,L00108,"Nakamura K., Taira J. and Higa Y. (2005) Internal elements of the millipede, <i>Chamberlinius hualienensis</i> Wang (Polydesmida: Paradoxosomatidae). Applied Entomology and Zoology, 40(2): 283–288."
907,L01133,"中村 正雄 (1939) 樂之堂隨筆（第三）. Acta Arachnologica, 4(2): 67–72."
908,L01623,"中村 修美 (1989) ""大発生したヤスデ""その後. 自然史だより, (10): 6."
909,L01541,"中村 泰之 (2017) 多足類. p. 417–422. In: 沖縄県環境部自然環境課 (編) 改訂・沖縄県の絶滅のおそれのある野生生物 第3版 (動物編). 沖縄県環境部自然環境課, 那覇. 712 pp."
910,L00109,"Nakamura Y. and Korsós Z. (2010) Distribution and diversity of millipedes of the Ryukyu Archipelago, with the Senkaku and Daito Island groups: A literature review (Arthropoda: Diplopoda). Acta Arachnologica, 59(2): 73–86."
911,L00942,"中村 泰之・Zoltán Korsós (2017) 土の中に棲むヤスデがつづる琉球列島の歴史–アマビコヤスデ属（<i>Riukiaria</i>）とタカクワヤスデ属（<i>Xystodesmus</i>）の系統地理. Acta Arachnologica, 66(2): 102."
912,L01437,"Nakamura Y. and Tominaga A. (2021) Diet of the American Bullfrog <i>Lithobates catesbeianus</i> naturalized on Okinawajima, Ryukyu Archipelago, Japan. Current Herpetology, 40(1): 40–53."
913,L00282,"中野 敬一 (2018) 屋久島のヤスデ集団発生時における物理的防除事例. ペストロジー, 33(1): 17–19."
914,L00831,"中島 悦子 (1992) 「篠原先生」. Takakuwaia, (24): 33–34."
915,L01616,"夏秋 優 (2012) ムカデ咬症の対応. 日本医事新報, (4620): 57–58."
916,L01611,"夏秋 優 (2013) ムカデ類総説. p. 54–55. In: 夏秋 優 (著) Dr. 夏秋の臨床図鑑 虫と皮膚炎 皮膚炎をおこす虫とその生態/ 臨床像・治療・対策. 学研メディカル秀潤社, 東京. 199 pp."
917,L01612,"夏秋 優 (2013) トビズムカデ. p. 56–59. In: 夏秋 優 (著) Dr. 夏秋の臨床図鑑 虫と皮膚炎 皮膚炎をおこす虫とその生態/ 臨床像・治療・対策. 学研メディカル秀潤社, 東京. 199 pp."
918,L00112,"Nguyen A. D. (2013) The millipede genus <i>Nedyopus</i> Attems, 1914 (Diplopoda: Polydesmida: Paradoxosomatidae) from Vietnam. Academia Journal of Biology, 35(3): 8–15."
919,L00115,"Nguyen A. D., Jang K. H., Hyun J. S. and Hwang U. W. (2016) An updated checklist and perspective study of millipedes (Arthropoda: Myriapoda: Diplopoda) in the Korean Peninsula. Animal Systematics, Evolution and Diversity, 32(1): 44–48."
920,L00113,"Nguyen A. D. and Korsós Z. (2011) A revision of the millipede genus <i>Riukiupeltis</i> Verhoeff, 1939 (Diplopoda, Polydesmida, Paradoxosomatidae), with comments on the status of related species. ZooKeys, 156: 25–40."
921,L00116,"Nguyen A. D., Korsós Z., Jang K. H. and Hwang U. W. (2017) A revision and phylogenetic analysis of the millipede genus <i>Oxidus</i> Cook, 1911 (Polydesmida, Paradoxosomatidae). European Journal of Taxonomy, (293): 1–22."
922,L00114,"Nguyen A. D. and Sierwald P. (2013) A worldwide catalog of the family Paradoxosomatidae Daday, 1889 (Diplopoda: Polydesmida). Check List, 9(6): 1132–1353."
923,L01692,"Nguyen Duy-Jacquemin M. and Condé B. (1967) Morphologie et Géonémie du genre <i>Monographis</i> Attems. Mitteilungen aus dem Hamburgischen Zoologischen Museum und Institut, 64: 43–81."
924,L00110,"Nguyen Duy-Jacquemin M. and Condé B. (1982) Lophoproctidés insulaires de l'océan Pacifique (Diplopodes Pénicillates). Bulletin du Muséum national d'histoire naturelle, 4e série, Section A, Zoologie, 4(1–2): 95–118."
925,L00111,"Nguyen Duy-Jacquemin M. and Geoffroy J.-J. (2003) A revised comprehensive checklist, relational database, and taxonomic system of reference for the bristly millipedes of the world (Diplopoda, Polyxenida). African Invertebrates, 44(1): 89–101."
926,L00760,"新島 渓子 (1980) 小海線・中央線沿線のキシャヤスデの大発生周期. Takakuwaia, (12): 6–7."
927,L01318,"新島 渓子 (1983) 柳沢峠のブナ・ミズナラ林の大型土壌動物とそのはたらき. 日本生態学会大会講演要旨集, (30): 258."
928,L01290,"新島 渓子 (1984) 列車を襲うヤスデの生活史と大発生周期. インセクタリウム, 21(8): 210–213."
929,L00635,"新島 渓子 (1984) キシャヤスデの大発生. 森林立地, 26(1): 25–32."
930,L01308,"新島 渓子 (1986) わが国における土壌動物学の現状. 大型土壌動物. 日本生態学会関東地区会会報, (35): 25–29."
931,L01471,"新島 渓子 (1991) ヤンバルトサカヤスデの食物と摂取量. Takakuwaia, (23): 12."
932,L00832,"新島 渓子 (1992) キシャヤスデのひとりごと. Takakuwaia, (24): 34."
933,L00864,"新島 渓子 (1995) 新刊紹介 原色図鑑 野外の害虫と不快な虫. Takakuwaia, (27): 8."
934,L00117,"Niijima K. (1998) Effects of outbreak of the train millipede <i>Parafontaria laminata armigera</i> Verhoeff (Diplopoda: Xystodesmidae) on litter decomposition in a natural beech forest in central Japan. 1. Density and biomass of soil invertebrates. Ecological Research, 13(1): 41–53."
935,L01624,"新島 渓子 (2000) 土の中のはたらき者—土壌動物. インセクタリウム, 37(1): 4–8."
936,L00636,"新島 渓子 (2001) ヤケヤスデ列車を止める. Edaphologia, (68): 43–46."
937,L00118,"新島 渓子・有村 利浩 (2002) ヤンバルトサカヤスデによる列車妨害記録. Edaphologia, (69): 47–49."
938,L00551,"新島 渓子・橋本 みのり (2008) 多摩森林科学園の土壌動物に関する研究 2. 常緑樹天然林における大型土壌動物. 森林総合研究所研究報告, 7(1): 1–8."
939,L00024,"新島 渓子・金子 信博・川九 邦雄 (2005) ヤンバルトサカヤスデ神奈川に発生. Edaphologia, (78): 31."
940,L00715,"Niijima K., Nii M. and Yoshimura J. (2021) Eight-year periodical outbreaks of the train millipede. Royal Society Open Science, 8(1): 201399."
941,L00119,"新島 渓子・篠原 圭三郎 (1988) キシャヤスデ類の大発生. 日本生態学会誌, 38(3): 257–268."
942,L01626,"西川 芳太郎 (1942) 蟬を食する百足蟲. 昆蟲界 : 昆蟲趣味の會機關雜誌, (106): 817."
943,L00120,"西川 喜朗・村上 好央 (1991) 日本産倍脚類の分布記録 (I). 追手門学院大学文学部紀要, (25): 291–313. 茨木, 大阪."
944,L00198,"西川 喜朗・村上 好央 (1993) 日本産倍脚類の分布記録 (II). 追手門学院大学文学部紀要, (27): 261–275. 茨木, 大阪."
945,L00199,"西川 喜朗・村上 好央 (1994) 日本産倍脚類の分布記録 (III). 追手門学院大学文学部紀要, (29): 207–225. 茨木, 大阪."
946,L00200,"西川 喜朗・村上 好央 (1994) 日本産倍脚類の分布記録 (IV). 追手門学院大学文学部紀要, (30): 179–197. 茨木, 大阪."
947,L00360,"西川 喜朗・野戸 章 (1984) ヒガシオビヤスデの大量発生の観察. Atypus, (85): 36."
948,L01333,"Nishimura A. and Takayama K. (2022) First record of potential bird pollination in the holoparasitic genus Orobanche L. Plant Species Biology, 1–12."
949,L01181,"西村 三郎 (著)・鈴木 克美 (著)・内海 冨士夫 (編) (1971) 標準原色図鑑全集 16 海岸動物. 保育社, 大阪."
950,L00938,"西野 洋一 (1986) 横浜市および秦野市の唇脚類. 神奈川自然誌資料, (7): 71–75."
951,L00846,"西野 洋一 (1992) 日本におけるコムカデ類（Symphyla）の研究. Takakuwaia, (24): 67–80."
952,L00638,"西尾 規孝・江口 直樹・藤山 静雄 (1995) キシャヤスデ，ヒガシオビヤスデに含まれるシアン化物含量について. Edaphologia, (53): 25–29."
953,L00949,"西山 泰彦・秋田 豊・大石 泰正・鈴木 順一郎 (2008) 高知県におけるヤンバルトサカヤスデ確認事例とその定着の可能性について. 高知県環境研究センター所報, (25): 67–71."
954,L01312,"丹羽 彌 (1929) 標本供覽 I. 日本産 Symphyla, Pauropoda 二目の動物の生ける標本供覽. 動物学雑誌, 41(490–491): 433–434."
955,L01029,"Noguchi S., Mori N., Higa Y. and Kuwahara Y. (1997) Identification of <i>Nedyopus patrioticus</i> (Attems, 1898) (Polydesmida: Paradoxosomatidae) secretions as possible defense substances. Applied Entomology and Zoology, 32(3): 447–452."
956,L00232,"野村 茂 (1956) 大分県の洞窟に棲む生物 (5). 採集と飼育, 18(11): 344–346."
957,L00230,"野村 茂 (1956) 大分県の洞窟に棲む生物（２）. 採集と飼育, 18(6): 184–185."
958,L00125,"Nordenskiöld N. A. E. (author), Alexander L. (translator) (1882) The voyage of the Vega round Asia and Europe; with a historical review of previous journeys along the north coast of the Old World. Macmillan and Co. 756 pp. New York."
959,L01682,"野﨑 哲・稲葉 基高 (2023) ムカデ咬症後に発症したKounis症候群の1例. 日本病院総合診療医学会雑誌, 19(6): 409–413."
960,L00258,"布村 昇・須摩 靖彦・石井 清・佐藤 英文 (1997) 富山市古洞池周辺の土壌動物相—1. 富山市科学博物館研究報告, (20): 83–90."
961,L00242,"Oba Y., Branham M. A. and Fukatsu T. (2011) The terrestrial bioluminescent animals of Japan. Zoological Science, 28(11): 771–789."
962,L00347,"大場 裕一・鈴木 義基・金 郁彦 (2017) 発光性倍脚類タカクワカグヤヤスデ <i>Paraspirobolus lucifugus</i> の宮古島からの新産地記録. 豊田ホタルの里ミュージアム研究報告書, (9): 1–5."
963,L01387,"Oeyen J. P. and Wesener T. (2018) A first phylogenetic analysis of the pill millipedes of the order Glomerida, with a special assessment of mandible characters (Myriapoda, Diplopoda, Pentazonia). Arthropod Structure & Development, 47(2): 214–228."
964,L00471,"緒方 清人 (1992) 愛知県南設楽郡鳳来町鳳来寺山のヤスデ. 蜘蛛, (25): 238."
965,L01685,"緒方 清人 (1997) 愛知のヤスデ. 鳳来寺山自然科学博物館 館報, (26): 1–22."
966,L01686,"緒方 清人 (1998) 多足類. 鳳来寺山自然科学博物館 館報, (27): 46."
967,L00494,"緒方 清人 (2002) ウスアカフサヤスデの小観察. 蜘蛛, (35): 732."
968,L01684,"緒方 清人 (2004) 鳳来寺山を模式とするクモ類とヤスデ類. 鳳来寺山自然科学博物館 館報, (33): 80–83."
969,L00491,"緒方 清人・須賀 瑛文 (2001) 名古屋城庭園内のクモ類と多足類. 蜘蛛, (34): 651–654."
970,L01185,"小川 一男 (1950) 脣脚類 三種の染色體研究. 動物学雑誌, 59(6): 142–143."
971,L00623,"小川 一男 (1950) 多足類の染色体研究 第I報. ゲジの染色体、特に性染色体の後還元的分裂について. 遺伝学雑誌, 25(3–4): 106–111."
972,L01188,"小川 一男 (1951) 唇脚類の核型（豫報）. 動物学雑誌, 60(1–2): 29–30."
973,L01650,"小川 一男 (1951) 多足類の染色体研究 第II報 トビズムカデとアオズムカデの染色体. 遺傳の綜合研究, 2: 17–20."
974,L00624,"小川 一男 (1951) 多足類の染色体研究 第III報. 唇脚類に見る核型の多様性について. 遺伝学雑誌, 26(3–4): 129–132."
