Lnumber,LID_CSV,LitList
54,L01253,"Brölemann H. W. (1913) Un nouveau système de Spirobolides [Myriapoda. Diplopoda]. Bulletin de la Société entomologique de France, 1913(19): 476–478."
55,L00010,Brölemann H. W. (1916) Essai de classification des Polydesmiens (Myriapodes). Annales de la Société entomologique de France. 84: 523–608.
56,L01600,"Butler A. D., Edgecombe G. D., Ball A. D. and Giribet G. (2011 (not 2010)) Resolving the phylogenetic position of enigmatic New Guinea and Seychelles Scutigeromorpha (Chilopoda): a molecular and morphological assessment of Ballonemini. Invertebrate Systematics, 24(6): 539–559."
57,L00011,"Butler A. G. (1876) Preliminary notice of new species of Arachnida and Myriopoda from Rodriguez, collected by Messrs George Gulliver and H. H. Slater. Annals and Magazine of Natural History, (4)17(102):439–446."
58,L00012,"Carl J. (1902) Exotische Polydesmiden. Revue suisse de Zoologie, 10: 563–679. Genève."
59,L01377,"Carta L. K., Thomas W. K. and Meyer-Rochow V. B. (2018) Two nematodes (Nematoda: Diplogastridae, Rhabditidae) from the invasive millipede <i>Chamberlinius hualienensis</i> Wang, 1956 (Diplopoda, Paradoxosomatidae) on Hachijojima Island in Japan. Journal of Nematology, 50(4): 479–486."
60,L01267,"Causey N. B. (1943) Studies on the life history and the ecology of the Hothouse Millipede, <i>Orthomorpha gracilis</i> (C. L. Koch 1847). The American Midland Naturalist, 29(3): 670–682."
61,L00013,"Chamberlin R. V. (1910) Diplopoda from the western states. Annals of the Entomological Society of America, 111(4): 233–262."
62,L01254,"Chamberlin R. V. (1920) The myriopod fauna of the Bermuda Islands, with notes on variation in <i>Scutigera</i>. Annals of the Entomological Society of America, 13(3): 271–302."
63,L01008,"Chamberlin R. V. (1941) New polydesmoid diplopods intercepted at quarantine. Proceedings of the Entomological Society of Washington, 43(2): 32–35."
64,L00014,"Chamberlin R. V. (1943) On some genera and species of American millipeds. Bulletin of the University of Utah, Biological series, 8(2): 1–20."
65,L00015,"Chamberlin R. V. and Wang Y.-H. M. (1953) Records of millipeds (Diplopoda) from Japan and other oriental areas, with descriptions of new genera and species. American Museum Novitates, (1621): 1–13. New York."
66,L01016,"趙 瑞隆 (2015) 二位東亞多足動物研究先驅學者小傳. 中華科技史學會學刊, (20): 73–81."
67,L01537,"Chao J.-L. and Chang H.-W. (2003) The scolopendromorph centipedes (Chilopoda) of Taiwan. African Invertebrates, 44(1): 1–11."
68,L01375,"Chao J.-L. and Chang H.-W. (2008) Neotype designation for two centipedes, <i>Scolopocryptops curtus</i> (Takakuwa, 1939) and <i>Cryptops nigropictus</i> Takakuwa, 1936, and a review of species of Scolopendromorpha (Chilopoda) in Taiwan. Collection and Research, 21(1): 1–15."
69,L00017,"Chen C.-C., Golovatch S. I. and Chang H.-W. (2006) The millipede tribe Nedyopodini, with special reference to the fauna of Taiwan (Diplopoda: Polydesmida: Paradoxosomatidae). Journal of Natural History, 39(47): 3997–4030."
70,L01380,"Chen C.-C., Golovatch S. I. and Chang H.-W. (2006) The millipede tribe Sulciferini in Taiwan (Diplopoda: Polydesmida: Paradoxosomatidae). Norwegian Journal of Entomology, 53: 249–270."
71,L01376,"Chen C.-C., Golovatch S. I. and Chang H.-W. (2008) Identity of the east Asian millipede <i>Habrodesmus inexpectatus</i> Attems, 1944 (Diplopoda: Polydesmida: Paradoxosomatidae). Journal of Natural History, 42(39–40): 2547–2556."
72,L00307,"Chen C.-C., Golovatch S. I. and Chang H.-W. (2010) Revision of the endemic Taiwanese millipede genus <i>Aponedyopus</i> Verhoeff, 1939, with descriptions of two new species (Diplopoda, Polydesmida, Paradoxosomatidae). Advances in the systematica of Diplopoda III. ZooKeys, 72: 1–21."
