No,JapaneseName,ScientificName,AuthorYear,Rank
135,カブトタマヤスデ,Hyleoglomeris kabutus,"Susukida, Nguyen & Eguchi in Susukida, Kuroda, Toda, Oguri, Nguyen & Eguchi, 2025",species
136,シロヘリタマヤスデ,Hyleoglomeris lucida,"Haga in Takashima & Haga, 1956",species
137,マギータマヤスデ,Hyleoglomeris magy,"Nakama, Nakamura, Tatsuta & Korsós, 2022",species
138,トサタマヤスデ,Hyleoglomeris nigra,"Verhoeff, 1942",species
139,エリジロタマヤスデ,Hyleoglomeris sakamotoensis,"Takano, 1981",species
140,フイリタマヤスデ,Hyleoglomeris stuxbergi,"(Attems, 1909)",species
141,カントウタマヤスデ,Hyleoglomeris sulcata,"Verhoeff, 1942",species
142,ユキジロタマヤスデ,Hyleoglomeris triangularis,"Haga, 1968",species
143,ウエノタマヤスデ,Hyleoglomeris uenoi,"Miyosi, 1955",species
144,ヤマシナタマヤスデ,Hyleoglomeris yamashinai,"Verhoeff, 1937",species
145,タマヤスデ,Glomeris nipponica,"Kishida, 1927",species
146,ヒラタヤスデ,Brachycybe nodulosa,"(Verhoeff, 1935)",species
147,-,Symphyopleurium aeruginosum,"Attems, 1951",species
148,アカヒラタヤスデ,Symphyopleurium hirsutum,"(Verhoeff, 1935)",species
149,ベニヒラタヤスデ,Symphyopleurium roseum,"(Verhoeff, 1935)",species
150,タマモヒラタヤスデ,Symphyopleurium okazakii,"(Takakuwa, 1942)",species
151,ヤマシナヒラタヤスデ,Yamasinaium noduligerum,"Verhoeff, 1939",species
152,-,Angarozonium aduncum,"(Mikhaljova in Mikhaljova & Basarukin, 1996)",species
153,ボウニンジヤスデ,Rhinotus okabei,"(Takakuwa, 1942)",species
154,ムラサキジヤスデ,Rhinotus purpureus,"(Pocock, 1894)",species
155,ツクシヤスデ,Kiusiozonium japonicum,"Verhoeff, 1941",species
156,オカツクシヤスデ,Kiusiozonium okai,"(Takakuwa & Miyosi, 1949)",species
157,イトヤスデ,Orsiboe ichigomensis,"Attems, 1909",species
158,（フゲンジイトヤスデ）,Orsiboe putricola,"Attems, 1951",species
159,アキヨシホラケヤスデ,Speophilosoma akiyoshiense,"Miyosi, 1958",species
160,コヤマホラケヤスデ,Speophilosoma koyama,"Shear, Tsurusaki & Tanabe, 1994",species
161,ホラケヤスデ,Speophilosoma montanum,"Takakuwa, 1949",species
162,タカナワホラケヤスデ,Speophilosoma takanawa,"Shear, Tsurusaki & Tanabe, 1994",species
163,トットリホラケヤスデ,Speophilosoma tottoriense,"Shear, Tsurusaki & Tanabe, 1994",species
164,オオトゲヤスデ,Macrochaeteuma sauteri,"Verhoeff, 1914",species
165,サカタヤスデ,Niponiosoma morikawai,"(Miyosi, 1958)",species
166,クラサワトゲヤスデ,Niponiosoma troglodytes,"Verhoeff, 1941",species
167,-,Japanoparvus hiroshimaensis,"Shear, Tanabe & Tsurusaki, 1997",species
168,オカシロケヤスデ,Japanoparvus okai,"Shear, Tanabe & Tsurusaki, 1997",species
169,-,Japanoparvus tsurugiensis,"Shear, Tanabe & Tsurusaki, 1997",species
170,ヤリヤスデ,Japanosoma scabrum,"Verhoeff, 1914",species
171,-,Yasudatyla hidakaensis,"Shear & Tsurusaki, 1995",species
172,-,Yasudatyla kurilensis,"Mikhaljova, 2015",species
173,-,Yasudatyla shariensis,"Shear & Tsurusaki, 1995",species
174,-,Yasudatyla yasudai,"Shear & Tsurusaki, 1995",species
175,タカサゴミコシヤスデ,Diplomaragna formosana,"(Verhoeff, 1936)",species
176,ミコシヤスデ,Diplomaragna gracilipes,"(Verhoeff, 1914)",species
177,エゾミコシヤスデ,Diplomaragna hokkaidensis,"(Verhoeff, 1939)",species
178,-,Diplomaragna tsurusakii,"Shear, 1990",species
179,-,Sakhalineuma tuberculatum,"(Mikhaljova, 1995)",species
180,-,Sakhalineuma curvatum,"(Mikhaljova, 1995)",species
181,メナシクロイワヤスデ,Pterygostegia anops,"Murakami & Kawasawa, 1976",species
182,トサクロイワヤスデ,Pterygostegia grandilobata,"Murakami & Kawasawa, 1976",species
183,クロイワヤスデ,Pterygostegia kuroiwadensis,"Miyosi, 1958",species
184,ナナメクロイワヤスデ,Pterygostegia obliqua,"Murakami & Kawasawa, 1975",species
185,カツレンフトケヤスデ,Tokyosoma flexuosum,"Mikhaljova & Korsós, 2015",species
186,シナノヤスデ,Tokyosoma inflatum,"(Verhoeff, 1942)",species
187,フトケヤスデ,Tokyosoma takakuwai,"Verhoeff, 1929",species
188,ヒメケヤスデ,Nipponothrix aculeus,"Shear & Tanabe, 1994",species
189,-,Nipponothrix yuwandake,"Shear & Tanabe, 1994",species
190,-,Underwoodia kurtschevae,"Golovatch, 1980",species
191,コケイロアマビコヤスデ,Riukiaria anachoreta,"Tanabe, 1988",species
192,フタマタアマビコヤスデ,Riukiaria bifida,"(Takakuwa, 1942)",species
193,ヤットコアマビコヤスデ,Riukiaria chelifer,"(Takakuwa, 1941)",species
194,カマトゲアマビコヤスデ,Riukiaria cornuta,"(Haga, 1968)",species
195,ダテアマビコヤスデ,Riukiaria datei,"(Miyosi, 1957)",species
196,エダウチアマビコヤスデ,Riukiaria diacantha,"(Miyosi, 1952)",species
197,（クロオキナワアマビコヤスデ）,Riukiaria falcifera,"Verhoeff, 1936",species
198,ハチヒゲアマビコヤスデ,Riukiaria geniculata,"(Takakuwa, 1941)",species
199,ホルストアマビコヤスデ,Riukiaria holstii,"(Pocock, 1895)",species
200,-,Riukiaria jamila,"Tanabe, 1990",species
201,タネガシマアマビコヤスデ,Riukiaria maculata,"Korsós, Nakamura & Tanabe, 2011",species
202,-,Riukiaria marinae,"(Golovatch, 1978)",species
203,キベリヤスデ,Riukiaria montana,"Haga, 1968",species
204,ヨナグニアマビコヤスデ,Riukiaria mundyi,"Korsós, Nakamura & Tanabe, 2011",species
205,ポコックアマビコヤスデ,Riukiaria neptuna,"(Pocock, 1895)",species
206,キイロアマビコヤスデ,Riukiaria puella,"Tanabe, 1988",species
207,オキナワアマビコヤスデ,Riukiaria pugionifera,"Verhoeff, 1936",species
